200,"khj","2018-10-23",17,73,57,"M"
201,"khj","2018-10-23",17,58,60,"M"
202,"khj","2018-10-23",17,73,85,"M"
203,"khj","2018-10-23",17,74,71,"M"
204,"khj","2018-10-23",17,58,61,"M"
205,"khj","2018-10-23",17,80,72,"M"
206,"khj","2018-10-23",17,66,130,"M"
207,"khj","2018-10-23",17,70,69,"M"
208,"khj","2018-10-23",17,62,83,"M"
209,"khj","2018-10-23",17,74,88,"M"
210,"khj","2018-10-23",17,53,59,"M"
211,"khj","2018-10-23",17,100,80,"M"
212,"khj","2018-10-23",17,88,75,"M"
213,"khj","2018-10-23",17,73,109,"M"
214,"khj","2018-10-23",17,85,40,"M"
215,"khj","2018-10-23",17,71,74,"M"
216,"khj","2018-10-23",17,114,59,"M"
217,"khj","2018-10-23",17,80,76,"M"
218,"khj","2018-10-23",17,108,100,"M"
219,"khj","2018-10-23",17,82,76,"M"
220,"khj","2018-10-23",17,100,133,"M"
221,"khj","2018-10-23",17,59,46,"M"
222,"khj","2018-10-23",17,98,125,"M"
223,"khj","2018-10-23",17,77,104,"M"
224,"khj","2018-10-23",17,124,215,"M"
225,"khj","2018-10-23",17,84,93,"M"
226,"khj","2018-10-23",17,86,75,"M"
227,"khj","2018-10-23",17,60,14,"M"
228,"khj","2018-10-23",17,106,88,"M"
229,"khj","2018-10-23",17,94,96,"M"
230,"khj","2018-10-23",17,111,106,"M"
231,"khj","2018-10-23",18,93,96,"M"
232,"khj","2018-10-23",18,103,93,"M"
233,"khj","2018-10-23",18,86,68,"M"
234,"khj","2018-10-23",18,91,95,"M"
235,"khj","2018-10-23",18,85,63,"M"
236,"khj","2018-10-23",18,94,121,"M"
237,"khj","2018-10-23",18,55,50,"M"
238,"khj","2018-10-23",18,103,100,"M"
239,"khj","2018-10-23",18,92,107,"M"
240,"khj","2018-10-23",18,86,114,"M"
241,"khj","2018-10-23",18,97,95,"M"
242,"khj","2018-10-23",18,87,68,"M"
243,"khj","2018-10-23",18,109,153,"M"
244,"khj","2018-10-23",18,67,80,"M"
245,"khj","2018-10-23",18,126,131,"M"
246,"khj","2018-10-23",18,92,84,"M"
247,"khj","2018-10-23",18,115,138,"M"
248,"khj","2018-10-23",18,98,106,"M"
249,"khj","2018-10-23",18,88,47,"M"
250,"khj","2018-10-23",18,121,54,"M"
251,"khj","2018-10-23",18,76,97,"M"
252,"khj","2018-10-23",18,114,109,"M"
253,"khj","2018-10-23",18,87,-16,"M"
254,"khj","2018-10-23",18,127,124,"M"
255,"khj","2018-10-23",18,71,96,"M"
256,"khj","2018-10-23",18,121,115,"M"
257,"khj","2018-10-23",18,77,85,"M"
258,"khj","2018-10-23",18,119,114,"M"
259,"khj","2018-10-23",18,61,74,"M"
260,"khj","2018-10-23",19,91,101,"M"
261,"khj","2018-10-23",19,58,30,"M"
262,"khj","2018-10-23",19,120,144,"M"
263,"khj","2018-10-23",19,68,51,"M"
264,"khj","2018-10-23",19,120,88,"M"
265,"khj","2018-10-23",19,120,90,"M"
266,"khj","2018-10-23",19,66,15,"M"
267,"khj","2018-10-23",19,122,61,"M"
268,"khj","2018-10-23",19,64,116,"M"
